Name,Symbol,IPO Date,IPO Price,total shares outstanding,trading volume on listing day,(IPO +7) Date,New Avg Price After 1 Week,Exchange,HQ Location,Industry
Cactus Acquisition 1,CCTS,29-10-21,,,,05-11-21,,,,
Aura Biosciences,AURA,29-10-21,,,,05-11-21,,,,
Fluence Energy,FLNC,28-10-21,,,,04-11-21,,,,
Focus Impact Acquisition,FIAC,28-10-21,,,,04-11-21,,,,
Solo Brands,DTC,28-10-21,,,,04-11-21,,,,
Perception Capital II,PCCT,28-10-21,,,,04-11-21,,,,
Anthemis Digital Acquisitions I,ADAL,28-10-21,,,,04-11-21,,,,
GlobalFoundries,GFS,28-10-21,,,,04-11-21,,,,
Seaport Calibre Materials Acquisition,SCMA,28-10-21,,,,04-11-21,,,,
Marpai,MRAI,27-10-21,,,,03-11-21,,,,
LAVA Medtech Acquisition,LVAC,27-10-21,,,,03-11-21,,,,
TKB Critical Technologies 1,USCT,27-10-21,,,,03-11-21,,,,
Rent The Runway,RENT,27-10-21,,,,03-11-21,,,,
Arteris,AIP,27-10-21,,,,03-11-21,,,,
Informatica,INFA,27-10-21,,,,03-11-21,,,,
OPY Acquisition I,OHAA,27-10-21,,,,03-11-21,,,,
Innovative International Acquisition,IOAC,27-10-21,,,,03-11-21,,,,
Pyrophyte Acquisition,PHYT,27-10-21,,,,03-11-21,,,,
Deep Medicine Acquisition,DMAQ,27-10-21,,,,03-11-21,,,,
Iconic Sports Acquisition,ICNC,22-10-21,,,,29-10-21,,,,
Xilio Therapeutics,XLO,22-10-21,,,,29-10-21,,,,
Getnet Adquirencia E Servicos Para Meios De Pagamento,GET,22-10-21,,,,29-10-21,,,,
M3-Brigade Acquisition III,MBSC,22-10-21,,,,29-10-21,,,,
Aris Water Solutions,ARIS,22-10-21,,,,29-10-21,,,,
Pegasus Digital Mobility Acquisition,PGSS,22-10-21,,,,29-10-21,,,,
Minerva Surgical,UTRS,22-10-21,,,,29-10-21,,,,
Portillo's,PTLO,21-10-21,,,,28-10-21,,,,
Accretion Acquisition,ENER,21-10-21,,,,28-10-21,,,,
Enfusion,ENFN,21-10-21,,,,28-10-21,,,,
"P10, Inc.",PX,21-10-21,,,,28-10-21,,,,
NewHold Investment II,NHIC,21-10-21,,,,28-10-21,,,,
Thrive Acquisition,THAC,21-10-21,,,,28-10-21,,,,
GoGreen Investments,GOGN,21-10-21,,,,28-10-21,,,,
Ventyx Biosciences,VTYX,21-10-21,,,,28-10-21,,,,
Runway Growth Finance,RWAY,21-10-21,,,,28-10-21,,,,
ExcelFin Acquisition,XFIN,21-10-21,,,,28-10-21,,,,
The Vita Coco Company,COCO,21-10-21,,,,28-10-21,,,,
Global Technology Acquisition I,GTAC,21-10-21,,,,28-10-21,,,,
Worldwide Webb Acquisition,WWAC,20-10-21,,,,27-10-21,,,,
Stronghold Digital Mining,SDIG,20-10-21,,,,27-10-21,,,,
Cyngn,CYN,20-10-21,,,,27-10-21,,,,
Athena Consumer Acquisition,ACAQ,20-10-21,,,,27-10-21,,,,
Context Therapeutics,CNTX,20-10-21,,,,27-10-21,,,,
Industrial Human Capital,AXH,20-10-21,,,,27-10-21,,,,
ESGEN Acquisition,ESAC,20-10-21,,,,27-10-21,,,,
Newcourt Acquisition,NCAC,20-10-21,,,,27-10-21,,,,
Enterprise 4.0 Technology Acquisition,ENTF,19-10-21,,,,26-10-21,,,,
Blockchain Moon Acquisition,BMAQ,19-10-21,,,,26-10-21,,,,
SportsMap Tech Acquisition,SMAP,19-10-21,,,,26-10-21,,,,
Fintech Ecosystem Development,FEXD,19-10-21,,,,26-10-21,,,,
"Belpointe PREP, LLC",OZ,18-10-21,,,,25-10-21,,,,
PepperLime Health Acquisition,PEPL,15-10-21,,,,22-10-21,,,,
Paragon 28,FNA,15-10-21,,,,22-10-21,,,,
Achari Ventures Holdings I,AVHI,15-10-21,,,,22-10-21,,,,
Sanaby Health Acquisition I,SANB,15-10-21,,,,22-10-21,,,,
MiNK Therapeutics,INKT,15-10-21,,,,22-10-21,,,,
Founder SPAC,FOUN,15-10-21,,,,22-10-21,,,,
Compass Digital Acquisition,CDAQ,15-10-21,,,,22-10-21,,,,
Black Mountain Acquisition,BMAC,14-10-21,,,,21-10-21,,,,
Rose Hill Acquisition,ROSE,14-10-21,,,,21-10-21,,,,
GitLab,GTLB,14-10-21,,,,21-10-21,,,,
Tristar Acquisition I,TRIS,14-10-21,,,,21-10-21,,,,
Lucid Diagnostics,LUCD,14-10-21,,,,21-10-21,,,,
IHS Holding,IHS,14-10-21,,,,21-10-21,,,,
Catalyst Bancorp,CLST,13-10-21,,,,20-10-21,,,,
Fat Projects Acquisition,FATP,13-10-21,,,,20-10-21,,,,
Healthcare Triangle,HCTI,13-10-21,,,,20-10-21,,,,
AvidXchange Holdings,AVDX,13-10-21,,,,20-10-21,,,,
Gesher I Acquisition,GIAC,12-10-21,,,,19-10-21,,,,
IsoPlexis,ISO,08-10-21,,,,15-10-21,,,,
Learn CW Investment,LCW,08-10-21,,,,15-10-21,,,,
Schultze Special Purpose Acquisition II,SAMA,08-10-21,,,,15-10-21,,,,
Consensus Cloud Solutions,CCSI,08-10-21,,,,15-10-21,,,,
Cognition Therapeutics,CGTX,08-10-21,,,,15-10-21,,,,
Jade Mountain Acquisition,JMAC,08-10-21,,,,15-10-21,,,,
Hawks Acquisition,HWKZ,08-10-21,,,,15-10-21,,,,
