,IPO Date,Symbol,Name,IPO Price,IPO Open Price,Shares Outstanding,IPO Market Capitalization,Volume Traded on Opening Day,No. of Employees,Currency,CPI Seasonally Adj,IPO + 1wk,Close Price,Price Change,Price Change 2,Price Up?,diff_exp
120,"Aug 15, 2019",JFU,9F Inc.,9.50,10.88,193856000,2109153280,2555613,1516,CNY,255.925,2019-08-22,11.37,0.489999999999998,1.0450367647058822,1,1.3800000000000008
121,"Aug 15, 2019",CFB,CrossFirst Bankshares,14.50,14.50,51117641,741205794.5,1017440,360,USD,255.925,2019-08-22,14.63,0.130000000000001,1.0089655172413794,1,0.0
122,"Sep 9, 2019",NPA,New Providence Acquisition,10.00,0.03,63148956,1678154.55790283,30140,3279.859413202934,CAD,256.118,2019-09-16,0.02648024575,-9.42958450000017E-05,0.8826748583333335,0,9.97
123,"Sep 11, 2019",SONG,Akazoo,0.00,1.30,389356341,505020454.230298,376980.609375,3279.859413202934,USD,256.118,2019-09-18,1.31883242715,0.0217674996,1.0144864824230768,1,1.3
124,"Sep 12, 2019",SDC,SmileDirectClub,23.00,20.59,105388398,2169947114.82,55416843,5000,USD,256.118,2019-09-19,18.64,-1.95,0.9052938319572609,0,2.41
125,"Sep 12, 2019",TXG,10X Genomics,39.00,54.00,18095382,977150628,7326286,500,USD,256.118,2019-09-19,61.12,7.12,1.1318518518518519,1,15.0
126,"Sep 13, 2019",SWTX,Springworks Therapeutics,18.00,24.50,41882995,1026133377.5,4066445,52,USD,256.118,2019-09-20,26.16,1.66,1.0677551020408163,1,6.5
127,"Sep 13, 2019",ALRS,Alerus Financial,21.00,22.01,14095656,310245388.56,15305.4814814815,3279.859413202934,USD,256.118,2019-09-20,21.9092,-0.100800000000003,0.9954202635165832,0,1.0100000000000016
128,"Sep 13, 2019",STSA,Satsuma Pharmaceuticals,15.00,18.34,16605256,304540395.04,1377069,11,USD,256.118,2019-09-20,15.75,-2.59,0.8587786259541985,0,3.34
129,"Sep 13, 2019",NET,Cloudflare,15.00,18.00,81360728,1464493104,35993741,1069,USD,256.118,2019-09-20,19.87,1.87,1.103888888888889,1,3.0
130,"Sep 18, 2019",NVST,Envista Holdings,22.00,25.65,154636000,3966413400,10160663,12800,USD,256.118,2019-09-25,27.74,2.09,1.0814814814814815,1,3.6499999999999986
131,"Sep 18, 2019",IGMS,IGM Biosciences,16.00,19.24,22460740,432144637.6,1751314,51,USD,256.118,2019-09-25,19.83,0.59,1.0306652806652807,1,3.2399999999999984
132,"Sep 19, 2019",PING,Ping Identity Holding,15.00,18.75,77641506,1455778237.5,11565049,897,USD,256.118,2019-09-26,17.04,-1.71,0.9087999999999999,0,3.75
133,"Sep 19, 2019",XGN,Exagen,14.00,16.85,11494770,193686874.5,918313,144,USD,256.118,2019-09-26,14.58,-2.27,0.8652818991097923,0,2.8500000000000014
134,"Sep 19, 2019",DDOG,Datadog,27.00,40.35,24000000,968400000,22073186,1212,USD,256.118,2019-09-26,32.44,-7.91,0.8039653035935563,0,13.350000000000001
135,"Sep 26, 2019",OPRT,Oportun Financial,15.00,15.70,26709782,419343577.4,1723655,3094,USD,256.118,2019-10-03,14.42,-1.28,0.9184713375796179,0,0.6999999999999993
136,"Sep 26, 2019",PTON,Peloton Interactive,29.00,27.17,41818181,1136199977.77,47067673,1800,USD,256.118,2019-10-03,22.33,-4.84,0.8218623481781375,0,1.8299999999999983
137,"Oct 3, 2019",APRE,Aprea Therapeutics,15.00,15.46,19876532,307191802.06,1820630,14,USD,256.532,2019-10-10,19.44,3.985,1.257438551099612,1,0.46000000000000085
138,"Oct 3, 2019",VIE,Viela Bio,19.00,23.58,573852571,13528949991.2168,1860662.61538462,171495,EUR,256.532,2019-10-10,24.2393003919062,0.663645816304772,1.0279601523285071,1,4.579999999999998
139,"Oct 3, 2019",FREQ,Frequency Therapeutics,14.00,11.20,30454280,341087936,1847152,37,USD,256.532,2019-10-10,12.67,1.47,1.13125,1,2.8000000000000007
140,"Oct 3, 2019",MCBS,MetroCity Bankshares,13.50,13.50,24305378,328122603,18842.3529411765,3279.859413202934,USD,256.532,2019-10-10,13.5121,0.0121,1.0008962962962964,1,0.0
141,"Oct 10, 2019",BNTX,BioNTech SE,15.00,16.50,226262336,3733328544,2805856,1179,EUR,256.532,2019-10-17,13,-3.5,0.7878787878787878,0,1.5
142,"Oct 11, 2019",HBT,HBT Financial,16.00,16.25,26327512,427822070,3755558,742,USD,256.532,2019-10-18,15.86,-0.390000000000001,0.976,0,0.25
143,"Oct 11, 2019",VIR,Vir Biotechnology,20.00,16.45,109397196,1799583874.2,3054869,217,USD,256.532,2019-10-18,13.66,-2.79,0.8303951367781155,0,3.5500000000000007
144,"Oct 17, 2019",BRBR,Bellring Brands,14.00,15.50,34285714,531428567,8884782,400,USD,256.532,2019-10-24,16.3,0.800000000000001,1.0516129032258066,1,1.5
145,"Oct 17, 2019",IPHA,Innate Pharma,5.50,5.90,64116889,378289645.1,827443,3279.859413202934,EUR,256.532,2019-10-24,5.97,0.069999999999999,1.011864406779661,1,0.40000000000000036
146,"Oct 24, 2019",BRP,BRP Group,14.00,17.30,16400000,283720000,6707445,545,USD,256.532,2019-10-31,16.2,-1.1,0.9364161849710981,0,3.3000000000000007
147,"Oct 25, 2019",HAPP,Happiness Biotech Group,5.50,4.75,25000000,118750000,658240,169,USD,256.532,2019-11-01,4.86,0.11,1.0231578947368423,1,0.75
148,"Oct 25, 2019",AIH,Aesthetic Medical International Holdings Group,12.00,12.35,23612890,291619191.5,775933,1687,CNY,256.532,2019-11-01,8.37,-3.98,0.6777327935222671,0,0.34999999999999964
149,"Oct 25, 2019",CABA,Cabaletta Bio,11.00,9.00,23552854,211975686,971526,20,USD,256.532,2019-11-01,10.75,1.75,1.1944444444444444,1,2.0
150,"Oct 25, 2019",DAO,Youdao,17.00,13.50,111767756,1508864706,3939906,1142,CNY,256.532,2019-11-01,14.83,1.33,1.0985185185185184,1,3.5
151,"Oct 25, 2019",TFFP,TFF Pharmaceuticals,5.00,5.19,17825436,92514012.84,467351,7,USD,256.532,2019-11-01,5.25,0.06,1.0115606936416184,1,0.1900000000000004
152,"Oct 25, 2019",PHAT,Phathom Pharmaceuticals,19.00,22.50,22890343,515032717.5,857339,16,USD,256.532,2019-11-01,23.78,1.28,1.056888888888889,1,3.5
153,"Oct 25, 2019",PGNY,Progyny,13.00,13.50,82174794,1109359719,4975772,163,USD,256.532,2019-11-01,18.38,4.88,1.3614814814814815,1,0.5
154,"Oct 31, 2019",OYST,Oyster Point Pharma,16.00,16.50,20612307,340103065.5,1022116,18,USD,256.532,2019-11-07,16.19,-0.309999999999999,0.9812121212121213,0,0.5
155,"Oct 31, 2019",RAPT,Rapt Therapeutics,12.00,12.25,21279943,260679301.75,246670,64,USD,256.532,2019-11-07,22.27,10.02,1.8179591836734694,1,0.25
156,"Nov 1, 2019",DUO,Fangdd Network Group,13.00,13.00,72430230,941592990,828817,1655,CNY,257.387,2019-11-08,13,0,1.0,0,0.0
157,"Nov 5, 2019",QK,Q&amp;K International Group,17.00,17.35,47462028,823466185.8,374221,775,CNY,257.387,2019-11-12,18.14,0.789999999999999,1.0455331412103746,1,0.3500000000000014
158,"Nov 7, 2019",CNTG,Centogene,14.00,14.25,19861340,283024095,928319,400,EUR,257.387,2019-11-14,14.19,-0.060000000000001,0.9957894736842104,0,0.25
159,"Nov 7, 2019",SI,Silvergate Capital,12.00,12.75,17768357,226546551.75,921333,209,USD,257.387,2019-11-14,15.35,2.6,1.203921568627451,1,0.75
160,"Nov 7, 2019",GRTX,Galera Therapeutics,12.00,12.50,24362099,304526237.5,1312416,26,USD,257.387,2019-11-14,13.25,0.75,1.06,1,0.5
161,"Nov 8, 2019",MOHO,ECMOHO,10.00,10.10,34379374,347231677.4,367981,639,USD,257.387,2019-11-15,9.75,-0.35,0.9653465346534654,0,0.09999999999999964
162,"Nov 8, 2019",SRAC,Stable Road Acquisition,10.00,15.88,11869500,188535392.329201,10168,22,ILS,257.387,2019-11-15,16.15967949884,0.275658071719999,1.0176120591209068,1,5.880000000000001
163,"Nov 8, 2019",TELA,TELA Bio,13.00,13.75,11006756,151342895,1269805,86,USD,257.387,2019-11-15,12.09,-1.66,0.8792727272727273,0,0.75
164,"Nov 8, 2019",KRKR,36Kr Holdings,14.50,13.00,37494340,487426420,479060,478,CNY,257.387,2019-11-15,9.98,-3.02,0.7676923076923077,0,1.5
165,"Nov 8, 2019",CNSP,CNS Pharmaceuticals,4.00,4.19,15712004,65806586.3532,857844,3,USD,257.387,2019-11-15,4.38,0.1917,1.045346062052506,1,0.1900000000000004
166,"Nov 11, 2019",ETNB,89bio,16.00,20.00,12993279,259865580,244254,14,USD,257.387,2019-11-18,28.27,8.27,1.4135,1,4.0
167,"Nov 13, 2019",YAYO,"EVmo, Inc.",4.00,4.25,29427976,125068898,488165,21,USD,257.387,2019-11-20,2.9161,-1.3339,0.6861411764705883,0,0.25
168,"Nov 21, 2019",SITM,SiTime,13.00,16.90,14300000,241670000,1032736,135,USD,257.387,2019-11-28,17.49,0.59,1.0349112426035503,1,3.8999999999999986
169,"Nov 21, 2019",CAN,Canaan,9.00,12.60,158148148,1992666664.8,4073294,297,CNY,257.387,2019-11-28,8.25,-4.35,0.6547619047619048,0,3.5999999999999996
170,"Nov 22, 2019",PINE,Alpine Income Property Trust,19.00,19.00,7902737,150152003,1501700,4,USD,257.387,2019-11-29,18.77,-0.23,0.9878947368421053,0,0.0
171,"Dec 5, 2019",LMPX,LMP Automotive Holdings,5.00,5.00,8301639,41508195,822240,11,USD,257.98900000000003,2019-12-12,22.25,17.25,4.45,1,0.0
172,"Dec 11, 2019",XP,XP Inc.,27.00,32.75,347642853,11385303435.75,34635834,2091,BRL,257.98900000000003,2019-12-18,38.1,5.35,1.1633587786259543,1,5.75
173,"Dec 12, 2019",EH,EHang Holdings,12.50,12.55,53038365,665631480.75,750019,233,CNY,257.98900000000003,2019-12-19,9.4,-3.15,0.749003984063745,0,0.05000000000000071
174,"Dec 12, 2019",BILL,Bill.com Holdings,22.00,37.25,70554392,2628151102,9506101,544,USD,257.98900000000003,2019-12-19,38.2,0.950000000000003,1.025503355704698,1,15.25
175,"Dec 13, 2019",SPT,Sprout Social,17.00,18.05,38080466,687352411.3,5443356,610,USD,257.98900000000003,2019-12-20,16,-2.05,0.8864265927977839,0,1.0500000000000007
176,"Dec 13, 2019",OCFT,OneConnect Financial Technology Co.,10.00,10.51,365773554,3844280052.54,5412814,2695,CNY,257.98900000000003,2019-12-20,9.85,-0.66,0.9372026641294006,0,0.5099999999999998
177,"Dec 19, 2019",INDO,Indonesia Energy,11.00,11.00,7363637,81000007,89369,65,USD,257.98900000000003,2019-12-26,7.4099,-3.5901,0.6736272727272727,0,0.0
178,"Dec 19, 2019",MNPR,Monopar Therapeutics,8.00,8.35,10420966,87015066.1,543359,5,USD,257.98900000000003,2019-12-26,17.4,9.05,2.0838323353293413,1,0.34999999999999964
179,"Dec 30, 2019",MKD,Molecular Data,5.38,6.01,115042341,691404469.41,2914582,505,CNY,257.98900000000003,2020-01-06,4.51,-1.5,0.7504159733777038,0,0.6299999999999999
180,"Jan 17, 2020",VEL,Velocity Financial,13.00,13.85,18999994,263149916.9,3438454,262,USD,258.203,2020-01-24,13.64,-0.209999999999999,0.9848375451263539,0,0.8499999999999996
181,"Jan 17, 2020",LIZI,Lizhi,11.00,11.03,45733054,504435585.62,3672391,620,CNY,258.203,2020-01-24,11.1,0.07,1.0063463281958296,1,0.02999999999999936
182,"Jan 17, 2020",DNK,Phoenix Tree Holdings,13.50,0.39,318546306,125229424.138829,132522.9,3279.859413202934,AUD,258.203,2020-01-24,0.39996444735,0.00683659818,1.025549865,1,13.11
183,"Jan 17, 2020",IMAB,I-Mab,14.00,14.75,57060625,841644218.75,3830849,185,CNY,258.203,2020-01-24,14,-0.75,0.9491525423728814,0,0.75
184,"Jan 29, 2020",ANVS,Annovis Bio,6.00,6.63,6518173,43215486.99,3388157,2,USD,258.203,2020-02-05,6.02,-0.61,0.9079939668174962,0,0.6299999999999999
185,"Jan 30, 2020",ANPC,AnPac Bio-Medical Science Co.,12.00,12.00,11201360,134416320,322812,111,CNY,258.203,2020-02-06,10.01,-1.99,0.8341666666666666,0,0.0
186,"Jan 30, 2020",BDTX,Black Diamond Therapeutics,19.00,33.00,34322758,1132651014,5369675,31,USD,258.203,2020-02-06,38.74,5.74,1.173939393939394,1,14.0
187,"Jan 31, 2020",ONEM,1Life Healthcare,14.00,18.00,122411198,2203401564,8294593,1700,USD,258.203,2020-02-07,26.69,8.69,1.4827777777777778,1,4.0
188,"Jan 31, 2020",REYN,Reynolds Consumer Products,26.00,27.50,202625000,5572187500,26201795,5100,USD,258.203,2020-02-07,30.2,2.7,1.0981818181818181,1,1.5
189,"Jan 31, 2020",ARQT,Arcutis Biotherapeutics,17.00,23.06,36626906,844616452.36,2931670,29,USD,258.203,2020-02-07,26.39,3.33,1.144405897658283,1,6.059999999999999
190,"Feb 6, 2020",SDGR,Schrodinger,17.00,26.00,48283005,1255358130,7624541,394,USD,258.687,2020-02-13,26.6,0.600000000000001,1.0230769230769232,1,9.0
191,"Feb 6, 2020",BEAM,Beam Therapeutics,17.00,24.00,49663082,1191913968,5873277,118,USD,258.687,2020-02-13,29.2,5.2,1.2166666666666666,1,7.0
192,"Feb 6, 2020",CSPR,Casper Sleep,12.00,14.50,39672912,575257224,11455867,831,USD,258.687,2020-02-13,10.64,-3.86,0.7337931034482759,0,2.5
193,"Feb 6, 2020",PPD,"PPD, Inc.",27.00,30.99,339425107,10518784065.93,25526305,23000,USD,258.687,2020-02-13,31.86,0.870000000000001,1.0280735721200387,1,3.9899999999999984
