,Symbol,tweetCount,replyCount,retweetCount,likeCount,quoteCount,weightedSentiment,unweightedSentiment
101,AMK,28,0.0,0.14285714285714285,0.2857142857142857,0.0,0.35882499999999995,0.17940357142857138
102,AFYA,318,0.44654088050314467,0.5408805031446541,3.059748427672956,0.12578616352201258,0.4127066314996231,0.21619339622641512
103,IFS,23,0.0,0.043478260869565216,0.0,0.0,0.0,0.06895217391304348
104,EIC,10,0.0,0.0,0.0,0.0,0.0,0.0
105,NOVA,29,0.034482758620689655,0.27586206896551724,0.20689655172413793,0.0,0.35144000000000003,0.36097241379310335
106,HCAT,212,0.1320754716981132,0.6037735849056604,2.1132075471698113,0.16981132075471697,0.4910768750000001,0.30832122641509435
107,CSTL,27,0.0,0.48148148148148145,0.7037037037037037,0.037037037037037035,0.27977878787878785,0.10083333333333334
108,WSG,12,0.0,0.08333333333333333,0.0,0.0,0.296,-0.07201666666666667
109,CCX,7,0.0,1.2857142857142858,1.8571428571428572,0.0,0.0,0.0
110,BHAT,3,0.0,0.0,0.0,0.0,0.4215,0.4215
111,VIST,45,0.08888888888888889,0.2222222222222222,0.9777777777777777,0.022222222222222223,0.19346779661016947,0.21812666666666666
112,SBE,13,0.0,0.0,0.0,0.0,0.30007692307692313,0.30007692307692313
113,BORR,137,0.4306569343065693,0.9416058394160584,2.343065693430657,0.10948905109489052,-0.3464851145038168,0.06673503649635035
114,KRUS,75,0.28,0.26666666666666666,1.5333333333333334,0.04,0.42804088050314465,0.2775933333333333
115,DT,1000,0.592,0.747,6.333,0.149,0.07286953075054342,0.0850895
116,SNDL,45,0.022222222222222223,0.1111111111111111,0.7555555555555555,0.022222222222222223,0.16841707317073168,0.058293333333333336
117,HKIB,25,0.0,0.28,0.12,0.0,0.34036,0.09007200000000001
118,INMD,64,0.078125,0.296875,0.359375,0.0,0.22307021276595748,0.156646875
119,PLIN,0,,,,,,
120,JFU,8,0.0,0.0,0.5,0.0,-0.07975000000000002,0.0669125
121,CFB,25,0.2,0.2,0.48,0.0,0.14680454545454547,0.08655999999999998
122,NPA,3,0.0,0.0,0.0,0.0,0.13396666666666665,0.13396666666666665
123,SONG,1000,0.364,0.297,2.694,0.051,0.32265308279506755,0.23481380000000002
124,SDC,1000,0.338,0.795,2.714,0.121,0.3849907258064516,0.2673954
125,TXG,74,0.13513513513513514,0.36486486486486486,1.1216216216216217,0.04054054054054054,0.45447317073170723,0.15381891891891894
126,SWTX,45,0.0,0.24444444444444444,0.3111111111111111,0.0,-0.143752,0.10910444444444445
127,ALRS,22,0.045454545454545456,0.045454545454545456,0.2727272727272727,0.0,0.2405375,0.14929545454545456
128,STSA,20,0.0,0.1,0.2,0.0,0.16685000000000003,0.10425999999999999
129,NET,1000,0.475,0.536,3.289,0.073,0.24487582895037735,0.17347200000000002
130,NVST,20,0.0,0.05,0.3,0.0,0.27417142857142857,0.18570000000000003
131,IGMS,32,0.0,0.15625,0.28125,0.0,0.3020785714285714,0.15200625
132,PING,137,0.043795620437956206,0.19708029197080293,0.5255474452554745,0.029197080291970802,0.4073715596330275,0.21415109489051093
133,XGN,413,0.3704600484261501,0.4358353510895884,1.9757869249394673,0.07263922518159806,0.171596352841391,0.14463389830508475
134,DDOG,953,0.4249737670514166,0.3987408184679958,4.259181532004197,0.06715634837355719,0.20733973105134476,0.18011909758656874
135,OPRT,17,0.17647058823529413,0.11764705882352941,0.29411764705882354,0.058823529411764705,0.05322727272727272,0.13012941176470588
136,PTON,149,0.6778523489932886,0.7315436241610739,4.496644295302014,0.16778523489932887,0.3344457458563536,0.12300134228187917
137,APRE,38,0.07894736842105263,0.2894736842105263,0.42105263157894735,0.02631578947368421,-0.1206483870967742,0.01305
138,VIE,40,0.05,0.15,0.25,0.025,0.011063157894736842,0.04826
139,FREQ,77,0.37662337662337664,0.22077922077922077,0.9090909090909091,0.05194805194805195,0.06504833333333333,0.015909090909090904
140,MCBS,33,0.09090909090909091,0.06060606060606061,0.696969696969697,0.0,0.7593571428571427,0.07640606060606062
141,BNTX,16,0.0,0.4375,0.375,0.25,-0.1150764705882353,-0.011262500000000002
142,HBT,326,0.34662576687116564,0.8067484662576687,4.190184049079755,0.05214723926380368,0.16226839113132463,0.13663006134969324
143,VIR,1000,0.557,1.564,5.911,0.159,0.12529269930411424,0.0574478
144,BRBR,61,0.06557377049180328,0.36065573770491804,0.4918032786885246,0.03278688524590164,2.5862068965510566e-05,0.08120983606557376
145,IPHA,47,0.2553191489361702,0.8936170212765957,2.297872340425532,0.06382978723404255,0.04877939393939396,0.005057446808510643
146,BRP,1000,0.486,2.308,4.279,0.16,-0.1136539610120282,0.06414700000000001
147,HAPP,4,0.0,0.0,0.0,0.0,0.55425,0.55425
148,AIH,4,0.25,0.25,0.5,0.0,0.0,-0.11315
149,CABA,12,0.08333333333333333,0.3333333333333333,0.5,0.08333333333333333,0.21179166666666668,0.1754
150,DAO,1000,0.458,0.931,3.142,0.107,0.2906612117291936,0.18881150000000002
151,TFFP,13,0.0,0.07692307692307693,0.0,0.0,0.296,0.045538461538461535
152,PHAT,23,0.13043478260869565,0.21739130434782608,0.4782608695652174,0.13043478260869565,0.07697272727272728,0.06423478260869564
153,PGNY,72,0.125,0.3888888888888889,1.1805555555555556,0.06944444444444445,0.33611181102362203,0.23365000000000002
154,OYST,14,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.21897500000000003,0.1014142857142857
155,RAPT,944,0.451271186440678,0.753177966101695,6.4809322033898304,0.1048728813559322,0.12151304052216481,0.24721949152542372
156,DUO,10,0.1,0.1,0.4,0.1,0.22414285714285714,0.15911000000000003
157,QK,12,0.0,0.16666666666666666,0.75,0.0,0.12772727272727272,-0.027925000000000002
158,CNTG,691,0.5209840810419681,0.20839363241678727,0.5716353111432706,0.010130246020260492,0.12046291390728477,0.11835094066570187
159,SI,9,0.0,0.0,0.7777777777777778,0.1111111111111111,0.0,0.06577777777777777
160,GRTX,12,0.0,0.25,0.4166666666666667,0.0,0.09339999999999998,-0.009441666666666673
161,MOHO,443,0.7404063205417607,6.905191873589165,27.085778781038375,0.43340857787810383,0.20311266529721397,0.1329591422121896
162,SRAC,9,0.0,0.0,0.1111111111111111,0.0,0.296,0.296
163,TELA,968,0.30165289256198347,0.5082644628099173,3.399793388429752,0.05991735537190083,-0.004540551657391731,0.12978119834710744
164,KRKR,14,0.0,0.14285714285714285,0.35714285714285715,0.0,0.13108571428571428,0.14038571428571428
165,CNSP,10,0.0,0.3,0.7,0.0,-0.37895,-0.07579
166,ETNB,29,0.0,0.41379310344827586,0.3793103448275862,0.0,0.07802608695652175,0.0516103448275862
167,YAYO,0,,,,,,
168,SITM,64,0.046875,0.21875,0.390625,0.0,0.14838571428571426,0.1633203125
169,CAN,1000,1.092,1.225,4.433,0.096,0.43536688577271404,0.18642070000000002
170,PINE,15,0.0,0.0,0.0,0.0,0.53822,0.53822
171,LMPX,9,0.0,0.0,0.0,0.0,0.09866666666666665,0.09866666666666665
172,XP,1000,0.611,1.076,4.92,0.081,0.341915759569378,0.3857783
173,EH,22,0.09090909090909091,0.13636363636363635,0.8636363636363636,0.13636363636363635,-0.04538148148148148,-0.015331818181818184
174,BILL,0,,,,,,
175,SPT,355,0.11830985915492957,0.1352112676056338,0.7014084507042253,0.01971830985915493,0.17632427745664742,0.32523014084507046
176,OCFT,8,0.0,0.25,0.5,0.0,-0.045533333333333335,0.0823625
177,INDO,450,0.4666666666666667,2.94,14.773333333333333,0.2111111111111111,0.6432241662638956,0.3223053333333334
178,MNPR,9,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0
179,MKD,127,0.28346456692913385,0.6535433070866141,2.377952755905512,0.05511811023622047,0.07180981308411215,0.13398503937007875
